id,degree,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality,label,community,sector,role,is_notable
Marshall Heyman,3,0.0026954177897574125,0.0,0.013845692693008302,0.4667000112209598,Marshall Heyman,21,unknown,unknown,0
Eric Roth,5,0.004492362982929021,3.4473768693939725e-06,0.015165723444112444,0.4671137523656592,Eric Roth,21,unknown,unknown,0
Shawn Lancaster,3,0.0026954177897574125,0.0,0.013419223369802022,0.4664934153771258,Shawn Lancaster,21,unknown,unknown,0
Peggy Siega,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Peggy Siega,21,unknown,unknown,0
David Kelley,4,0.0035938903863432167,0.0,0.013017791655328004,0.4667000112209598,David Kelley,21,unknown,unknown,0
Melanie Walker,7,0.006289308176100629,8.887768491406336e-06,0.015030377698152153,0.467320898153848,Melanie Walker,21,unknown,unknown,0
Stephen Moore,4,0.0035938903863432167,0.0,0.013017791655328004,0.4667000112209598,Stephen Moore,21,unknown,unknown,0
Steven Sinofsky,5,0.004492362982929021,2.4239368612926367e-06,0.01329727858550678,0.466906790135989,Steven Sinofsky,21,unknown,unknown,0
Uncle F Jeffrey Epstein,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Uncle F Jeffrey Epstein,21,unknown,unknown,0
Jennifer Jacquet,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Jennifer Jacquet,21,unknown,unknown,0
Katherine Keating,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Katherine Keating,21,unknown,unknown,0
Reid Weingarten,64,0.05750224618149147,0.0013885512691117789,0.056335852155233505,0.4829553736649529,Reid Weingarten,21,unknown,unknown,0
Bill Gates,37,0.033243486073674756,8.160587433018544e-05,0.05198813450674364,0.4736218540840122,Bill Gates,9,unknown,unknown,0
Bill Joy,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Bill Joy,9,unknown,unknown,0
Charles Simonyi,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Charles Simonyi,9,unknown,unknown,0
Craig Venter,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Craig Venter,9,unknown,unknown,0
Danny Hillis,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Danny Hillis,9,unknown,unknown,0
Dean Kamen,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Dean Kamen,9,unknown,unknown,0
Elon Musk,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Elon Musk,9,unknown,unknown,0
Eric Schmidt,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Eric Schmidt,9,unknown,unknown,0
Evan Williams,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Evan Williams,9,unknown,unknown,0
Hubert Burda,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Hubert Burda,9,unknown,unknown,0
Jacqui Safra,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Jacqui Safra,9,unknown,unknown,0
Jean Pigozzi,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Jean Pigozzi,9,unknown,unknown,0
Jeff Bezos,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Jeff Bezos,9,unknown,unknown,0
Jeff Skoll,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Jeff Skoll,9,unknown,unknown,0
Jimmy Wales,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Jimmy Wales,9,unknown,unknown,0
John Doerr,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,John Doerr,9,unknown,unknown,0
Kary Mullis,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Kary Mullis,9,unknown,unknown,0
Larry Page,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Larry Page,9,unknown,unknown,0
Maja Hoffman,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Maja Hoffman,9,unknown,unknown,0
Marissa Mayer,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Marissa Mayer,9,unknown,unknown,0
Mark Zuckerberg,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Mark Zuckerberg,9,unknown,unknown,0
Miuccia Prada,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Miuccia Prada,9,unknown,unknown,0
Nathan Myhrvold,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Nathan Myhrvold,9,unknown,unknown,0
Nick Pritzker,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Nick Pritzker,9,unknown,unknown,0
Paul Allen,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Paul Allen,9,unknown,unknown,0
Pierre Omidyar,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Pierre Omidyar,9,unknown,unknown,0
Ricardo Salinas Pilego,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Ricardo Salinas Pilego,9,unknown,unknown,0
Salar Kamangar,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Salar Kamangar,9,unknown,unknown,0
Sean Parker,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Sean Parker,9,unknown,unknown,0
Sergey Brin,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Sergey Brin,9,unknown,unknown,0
Steve Case,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Steve Case,9,unknown,unknown,0
Tony Fadell,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Tony Fadell,9,unknown,unknown,0
Vinod Khosla,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Vinod Khosla,9,unknown,unknown,0
Christina Galbraith,5,0.004492362982929021,3.878298978068219e-06,0.014505730847220157,0.4671137523656592,Christina Galbraith,21,unknown,unknown,0
Lawrance Visoski,2,0.0017969451931716084,0.0,0.01234743053672686,0.4662870023614722,Lawrance Visoski,21,unknown,unknown,0
Tarek El Sayed,2,0.0017969451931716084,0.0,0.01234743053672686,0.4662870023614722,Tarek El Sayed,21,unknown,unknown,0
"Edward B. Reynolds, Jr.",6,0.005390835579514825,0.0,0.014042389406176853,0.4671137523656592,"Edward B. Reynolds, Jr.",21,unknown,unknown,0
Erika Kellerhals,7,0.006289308176100629,4.039894768821062e-06,0.014322411832443288,0.467320898153848,Erika Kellerhals,21,unknown,unknown,0
Justin Blackhall,6,0.005390835579514825,0.0,0.014042389406176853,0.4671137523656592,Justin Blackhall,21,unknown,unknown,0
Robert A. Solomon,6,0.005390835579514825,0.0,0.014042389406176853,0.4671137523656592,Robert A. Solomon,21,unknown,unknown,0
William L. Blum,6,0.005390835579514825,0.0,0.014042389406176853,0.4671137523656592,William L. Blum,21,unknown,unknown,0
Cecile de Jongh,3,0.0026954177897574125,0.0,0.012646708197727053,0.4664934153771258,Cecile de Jongh,21,unknown,unknown,0
Cavan Mahony,5,0.004492362982929021,4.0398947688210616e-07,0.013358863145805784,0.466906790135989,Cavan Mahony,21,unknown,unknown,0
Frau Dichand,4,0.0035938903863432167,0.0,0.013063688247598286,0.4667000112209598,Frau Dichand,21,unknown,unknown,0
Manuela Wieland,5,0.004492362982929021,4.0398947688210616e-07,0.013358863145805784,0.466906790135989,Manuela Wieland,21,unknown,unknown,0
Kevin Frost,5,0.004492362982929021,0.0,0.013373527733890736,0.466906790135989,Kevin Frost,21,unknown,unknown,0
Kevin Robert Frost,5,0.004492362982929021,0.0,0.013373527733890736,0.466906790135989,Kevin Robert Frost,21,unknown,unknown,0
Magdalena Schuster,5,0.004492362982929021,0.0,0.013373527733890736,0.466906790135989,Magdalena Schuster,21,unknown,unknown,0
Eva Pichand,4,0.0035938903863432167,0.0,0.013063688247598286,0.4667000112209598,Eva Pichand,21,unknown,unknown,0
Boris Nikolicil,5,0.004492362982929021,0.0,0.013373527733890736,0.466906790135989,Boris Nikolicil,21,unknown,unknown,0
Christina,3,0.0026954177897574125,0.0,0.012646708197727053,0.4664934153771258,Christina,21,unknown,unknown,0
Marlene Edme,3,0.0026954177897574125,0.0,0.012646708197727053,0.4664934153771258,Marlene Edme,21,unknown,unknown,0
Charles Stevenson,2,0.0017969451931716084,0.0,0.013513791612576695,0.4662870023614722,Charles Stevenson,21,unknown,unknown,0
John Connolly,11,0.009883198562443846,0.0054970405654683014,0.015745972493158657,0.4704502791682711,John Connolly,7,unknown,unknown,0
